id,Name,lon,lat,Address,value
1,ОВД Басманный,37.6668329,55.769924,"Новая Басманная ул., 33, стр. 1",166
2,ОВД Тверской,37.611573,55.764788,"ул. Большая Дмитровка, 28",232
3,ОВД Китай-город,37.6248623,55.7546882,"ул. Ильинка, 3/8, стр. 5",132
4,ОВД Арбат,37.588918,55.747807,"Кривоарбатский переулок, дом 14, стр. 1",56
5,ОВД Замоскворечье,37.628964,55.736587,"улица Пятницкая, 49 строение 1",70
6,ОВД Мещанский,37.63153,55.768357,"ул. Сретенка, 11 ",88
7,ОВД Хамовники,37.5621601,55.7251499,"ул. Усачёва, 62",96
8,ОВД Пресненский,37.542327,55.760668,"ул. Литвина-Седого, 3А,",137
9,ОВД Якиманка,37.619717,55.736244,"ул. Большая Полянка, 33/41, стр. 1 ",89
10,ОВД Красносельский,37.657579,55.771972,"Новорязанская ул., 10",39
11,Селятинский отдел полиции,36.9760569,55.514582,"Селятино пос., д. 2-А",2
12,Линейный отдел полиции на станции метро Юго-Западная,37.483152,55.66375,м. Юго-Западная,1
13,ОВД Котловка,37.603238,55.675564,"ул. Ремизова, 13",1
14,Отдел полиции по обслуживанию гостиницы Измайлово,37.7477789,55.7900208," г. Москва, Измайловское ш., д. 71",1
15,ОВД Митино,37.342565,55.858054,"ул. Барышиха, 49",1
16,ОВД Нагатинский затон,37.701025,55.680106,"     Коломенская ул., 11 ",17
17,ОВД Войковский,37.501891,55.821575,"Старопетровский пр-д, 2",1
18,ЛОВД на ст.м.Цветной бульвар,37.620685,55.771682,м. Цветной бульвар,2
19,ОВД Марьинский парк,37.750304,55.652156,"Новомарьинская ул., 7",1
20,ОВД Барвиха,37.2830098,55.7232125,"Московская область, Барвиха",1
21,ОВД Жуковский,38.111248,55.600768,"Жуковский, ул. Гагарина , д. 8",2
22,ОВД Таганский,37.6814589,55.734676,"Ведерников пер., 9, стр. 1",78
23,ОВД Преображенское,37.710175,55.790609,"улица Суворовская, 25, Москва",15
24,ОВД Крылатское,37.4047827,55.7637585,"Осенняя ул., 15",2
25,ОВД Орехово-Борисово Северное,37.7247569,55.625904,"Борисовский пр-д, 18",1
26,ОВД Сокольники,37.675649,55.786472,"Маленковская ул., 42, стр. 1 ",21
27,ОВД Дорогомилово,37.526838,55.743284," ул. Кульнева, 6",3
28,4-й отдел полиции УВД на Московском метрополитене,37.6010107,55.7795964,"Москва, ул. Новослободская, 2",3
29,ОВД Щукинское,37.454523,55.810355," Авиационная ул., 68, корп. 2",1
30,ОВД Бирюлево Западное,37.6557389,55.585685," Харьковская ул., 1Б",3
31,линейный отдел на водном транспорте Управления на транспорте МВД России по ЦФО,37.479581,55.789784,"уд. Расплетина, 22, стр. 1",4
32,ОВД МГУ,37.531751,55.702347,"Ленинские горы, МГУ, корп. “Б”",1
33,1-й отдел полиции УВД на московском метрополитене,37.65587,55.776241,м. Комсомольская,7
34,53 ОП,30.243966,60.008461,"Санкт-Петербург, ул.Ильюшина, 18-А",3
35,38 ОП,30.326205,59.911391,"Санкт-Петербург, наб. Обводного канала, 117",8
36,77 ОП,30.281966,59.909907,"Санкт-Петербург, наб. Обводного канала, 205",7
37,2 ОП,30.306614,59.922134,"Санкт-Петербург, ул. Садовая, 58",14
