Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
1,12.01.2013,Москва,не согласовано,Unauthorised,акция,Direct action,социальная,Social,другое,Other,Акция против строительства Северо-Западной хорды,The protest against the construction of the Northwest chords,ОВД Тверское,"Тверская, 14",5,http://ovdinfo.org/express-news/1224
2,12.01.2013,Москва,не согласовано,Unauthorised,агитация,Agitation,Против антимагнитского закона,Against the anti-Magnitsky Law,стихийная,Spontaneous,"Раздача листовок с призывом выйти на ""Марш против подлецов""","Сalling for the ""March against scoundrels""",Линейный отдел полиции на станции метро Юго-Западная,м. Юго-Западная,1,http://ovdinfo.org/express-news/1226
3,14.01.2013,Москва,не согласовано,Unauthorised,другое,Other,экология,Environmental,другое,Other,Защита Селятинского леса,Protecting Selyatino forest,Селятинский отдел полиции,Селятино,1,http://ovdinfo.org/express-news/1228
4,15.01.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Акция в честь двухлетия Следственного комитета,The campaign in honor of the Investigative Committee's biennium,ОВД Басманное,"Газетный  пер, 6",3,http://ovdinfo.org/express-news/1233
5,18.01.2013,Москва,не согласовано,Unauthorised,другое,Other,социальная,Social,антифа,Antifa,Мосшелк: защита общежития,Mosshelk: dorm's protection ,ОВД Хамовники,"Б.Саввинский переулок дом 12, стр 18",3,http://ovdinfo.org/express-news/1235
6,19.01.2013,Москва,не согласовано,Unauthorised,другое,Other,социальная,Social,антифа,Antifa,Мосшелк: защита общежития,Mosshelk: dorm's protection ,ОВД Хамовники,"Б.Саввинский переулок дом 12, стр 18",39,http://ovdinfo.org/express-news/1240
7,20.01.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,другое,Other,другое,Other,Пикет против секретаря Координационного совета,Protest against the Secretary of the Coordinating Council,Отдел полиции по обслуживанию гостиницы Измайлово,гостиница Измайлово,1,http://ovdinfo.org/express-news/1244
8,22.01.2013,Москва,не согласовано,Unauthorised,активист,Activist,другое,Other,активист,Activist,Конлифкт с судебными приставами,Conflict with bailiffs,Тверской районный суд,Тверской районный суд,1,"http://ovdinfo.org/express-news/1253, http://ovdinfo.org/express-news/1255"
9,22.01.2013,Москва,не согласовано,Unauthorised,активист,Activist,другое,Other,активист,Activist,Задержание Дениса Билунова в кафе,Denis Bilunov's arresting in a care,ОВД Басманное,ул. Покровка,3,http://ovdinfo.org/express-news/1256
10,22.01.2013,Москва,согласовано,Authorised,пикет,Picket,политзеки,Political prisoners,другое,Other, Пикет в поддержку Сергея Кривова,Picket in support of Sergei Krivova,ОВД Пресненсикй,"около метро ""1905 года""",1,http://ovdinfo.org/express-news/1258
